City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Luanda,AO,67.87,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
348,Semey,KZ,68.31,clear sky,50.4111,80.2275,Grand Hotel Semey
349,Hay River,CA,61.68,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
350,Pangnirtung,CA,50.0,few clouds,66.1451,-65.7125,Kilabuk Lodge
351,Tilichiki,RU,53.47,few clouds,60.4667,166.1,
352,Kargasok,RU,51.04,broken clouds,59.0556,80.8572,Hotel Kargasok
353,Wanning,CN,79.21,few clouds,18.8003,110.3967,Paradise Hotel
354,Pindiga,NG,74.23,broken clouds,9.9833,10.9333,Accommodation Center
355,Takoradi,GH,75.74,overcast clouds,4.8845,-1.7554,Raybow International Hotel
356,Ormara,PK,83.75,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
357,Gigmoto,PH,80.62,overcast clouds,13.7796,124.39,Cj's Travellers Inn
358,Ornskoldsvik,SE,67.15,few clouds,63.2909,18.7153,ファーストホテル スタット
359,George Town,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
361,The Valley,AI,86.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
362,Fort Nelson,CA,73.38,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
364,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
365,Isla Vista,US,79.16,fog,34.4133,-119.861,Best Western Plus South Coast Inn
366,Shwebo,MM,76.71,overcast clouds,22.5667,95.7,MOON SHINE Guest House
367,Puqi,CN,81.66,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
368,Neiafu,TO,63.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
369,Oban,GB,63.37,overcast clouds,56.4127,-5.4706,Muthu Oban Hotel (Formerly Regent Hotel)
371,Victoria,HK,88.18,scattered clouds,22.2855,114.1577,Mini Central
372,Vilyuysk,RU,59.83,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
373,San Cristobal,VE,83.57,broken clouds,7.7669,-72.225,Pirineos
374,Alghero,IT,86.09,clear sky,40.5589,8.3181,Smy Carlos V Alghero
375,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
376,Senneterre,CA,78.12,overcast clouds,48.3835,-77.2328,Motel Senabi
377,Puerto Colombia,CO,83.23,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
378,Port Keats,AU,62.65,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
380,Caravelas,BR,75.24,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
381,Byron Bay,AU,59.94,overcast clouds,-28.65,153.6167,Backpackers Inn
382,Cockburn Town,TC,78.42,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
384,Bac Lieu,VN,79.29,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
386,Camalu,MX,76.8,scattered clouds,30.85,-116.0667,La Cueva del Pirata
387,Lensk,RU,61.92,overcast clouds,60.7253,114.9278,ТинОрС
388,Chiang Klang,TH,73.45,overcast clouds,19.2938,100.8617,Sangthong Resort
389,Abeche,TD,75.67,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
