City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Tocopilla,CL,-22.092,-70.1979,64.78,71,97,11.5,overcast clouds
288,Hovd,MN,48.0056,91.6419,62.98,52,93,18.5,overcast clouds
289,Erzin,TR,36.9559,36.2,77.14,62,0,3.04,clear sky
290,Nenjiang,CN,49.1833,125.2167,62.6,91,0,4.81,clear sky
291,Maykor,RU,59.0059,55.88,61.66,84,78,4.99,broken clouds
292,Olinda,BR,-8.0089,-34.8553,80.33,69,75,13.8,broken clouds
293,Baruun-Urt,MN,46.6806,113.2792,62.28,56,100,6.53,moderate rain
294,Calbuco,CL,-41.768,-73.1273,43.81,95,100,10.27,heavy intensity rain
295,Asasa,ET,7.1,39.2,56.23,91,100,4.74,light rain
296,Port Elizabeth,ZA,-33.918,25.5701,60.31,70,0,11.99,clear sky
297,Port Blair,IN,11.6667,92.75,77.04,94,100,4.61,overcast clouds
298,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,94,100,5.75,mist
299,Torbay,CA,47.6666,-52.7314,79.29,70,75,14.97,broken clouds
300,Mindelo,CV,16.8901,-24.9804,80.15,61,75,5.75,broken clouds
301,Bubaque,GW,11.2833,-15.8333,76.84,92,100,19.17,heavy intensity rain
302,Atar,MR,20.5169,-13.0499,86.56,59,63,18.01,light rain
303,Kharan,PK,28.5833,65.4167,88.27,44,100,8.32,overcast clouds
304,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,2.3,overcast clouds
305,Planeta Rica,CO,8.4147,-75.5883,84.0,73,54,2.93,broken clouds
306,Lasa,IT,46.6166,10.7002,81.48,83,59,3.8,broken clouds
307,Pangkalanbuun,ID,-2.6833,111.6167,73.71,98,69,1.7,broken clouds
308,Ovsyanka,RU,55.9575,92.5519,54.57,95,94,4.12,overcast clouds
309,Salinopolis,BR,-0.6136,-47.3561,83.26,69,85,11.25,overcast clouds
310,Tynda,RU,55.1667,124.7167,58.21,93,33,1.23,scattered clouds
311,Changji,CN,44.0167,87.3167,84.99,26,0,4.47,clear sky
312,Sinnamary,GF,5.3833,-52.95,82.53,73,52,6.55,broken clouds
313,Marion,US,39.7684,-86.1555,93.29,43,0,0.0,clear sky
314,Casablanca,MA,33.5928,-7.6192,95.22,69,40,6.91,scattered clouds
315,Upernavik,GL,72.7868,-56.1549,42.22,95,100,23.47,overcast clouds
316,Japura,ID,-0.3167,102.35,73.83,99,89,2.17,overcast clouds
317,Saskylakh,RU,71.9167,114.0833,48.16,71,99,6.02,overcast clouds
318,Palauig,PH,15.435,119.9045,81.63,78,11,3.94,few clouds
319,Mandan,US,46.8267,-100.8896,93.36,49,0,8.05,clear sky
320,Kununurra,AU,-15.7667,128.7333,55.38,82,8,1.14,clear sky
321,Eyl,SO,7.9803,49.8164,77.92,77,100,25.39,overcast clouds
322,Jalu,LY,29.0331,21.5482,85.6,27,0,14.2,clear sky
323,Vestmannaeyjar,IS,63.4427,-20.2734,51.49,92,100,6.51,overcast clouds
324,Hof,DE,50.3167,11.9167,76.23,41,100,4.61,overcast clouds
325,Timra,SE,62.487,17.3257,62.67,63,100,8.05,overcast clouds
326,Avera,US,33.194,-82.5271,87.39,48,100,9.42,overcast clouds
327,Batagay,RU,67.6333,134.6333,63.82,83,100,2.66,light rain
328,Meulaboh,ID,4.1363,96.1285,76.44,87,100,5.01,overcast clouds
